后台,功能模块,报表名称,新增数据指标,新增筛选指标,其他新增需求
智投后台,概览,日周月报表,1、在指标选择当中新增基于有效用户维度查看的数据“有效指标模块”，模块下需要有对应的衍生指标，如有效用户首日付费率、有效用户次留率、有效用户首日付费ARPU、有效用户首月付费ARPU等等；,,1、支持按渠道分天汇总
智投后台,概览,广告素材,1、新增数据指标【7日人均付费次数】【7日付费次数】【7日付费成本】【ltv3/ltv1】【ltv7/ltv1】【ltv7/ltv3】【分成后付费金额】【分成后ROI】 2、新增基于有效用户查看数据；,1、素材分列里，增加区分图片和视频的筛选,1、小红书消耗自动抓取
智投后台,分析,监测活动报表,1、新增数据指标【7日人均付费次数】【7日付费次数】【7日付费成本】【ltv3/ltv1】【ltv7/ltv1】【ltv7/ltv3】【分成后付费金额】【分成后ROI】 2、在指标选择当中新增基于有效用户维度查看的数据“有效指标模块”，模块下需要有对应的衍生指标，如有效用户首日付费率、有效用户次留率、有效用户首日付费ARPU、有效用户首月付费ARPU等等；,,1、小红书消耗自动抓取
智投后台,概览,实时数据,,,1、小红书消耗自动抓取
智投后台,概览,ROI分析,1、新增数据指标【注册成本】【付费成本】【有效成本】【付费率】【首日arppu】【7日人均付费次数】【7日付费次数】【7日付费成本】【ltv3/ltv1】【ltv7/ltv1】【ltv7/ltv3】【分成后付费金额】【分成后ROI】,,1、支持拆分腾讯版位数据 2、支持按照渠道分天汇总 3、“按周”汇总数据时，数据报表的时间日期仅展示所选时间范围，不按自然周突破时间范围。例：选择2025.12.29-12.31，仅展示这三天的首周ROI，不按自然周展示12.29-1.4的首周ROI
